Metabolite_name,RefMet_name,refmet_name,super_class,main_class,sub_class,formula,exactmass,inchi_key,smiles,pubchem_cid
Heptacosane,Heptacosane,Heptacosane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C27H56,380.438201,BJQWYEJQWHSSCJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCCCCC,11636.0
heptadecanoic acid,Margaric acid,Margaric acid,Fatty Acyls,Fatty acids,Saturated FA,C17H34O2,270.25588,KEMQGTRYUADPNZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)O,10465.0
Heptadecanoic acid_ glycerine-(1)-monoester_ bis-O-trimethylsilyl-,Margaric acid,Margaric acid,Fatty Acyls,Fatty acids,Saturated FA,C17H34O2,270.25588,KEMQGTRYUADPNZ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCC(=O)O,10465.0
Heptasiloxane_ hexadecamethyl-,,,,,,,,,,
Hexadecane,Hexadecane,Hexadecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C16H34,226.266051,DCAYPVUWAIABOU-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC,11006.0
Hexadecane_ 2-methyl-,,,,,,,,,,
hypoxanthine,Hypoxanthine,Hypoxanthine,Nucleic acids,Purines,Hypoxanthines,C5H4N4O,136.038511,FDGQSTZJBFJUBT-UHFFFAOYSA-N,O=c1[nH]cnc2nc[nH]c12,135398638.0
Indol-5-ol_ 2TMS derivative,,,,,,,,,,
inosine,Inosine,Inosine,Nucleic acids,Purines,Purine ribonucleosides,C10H12N4O5,268.080771,UGQMRVRMYYASKQ-KQYNXXCUSA-N,OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)[C@H](O)[C@@H]1O,135398641.0
Lactic Acid_ 2TMS derivative,Lactic acid,Lactic acid,Organic acids,Short-chain acids,Short-chain acids,C3H6O3,90.031695,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C[C@H](O)C(=O)O,107689.0
lactose 1,Lactose,Lactose,Carbohydrates,Disaccharides,Disaccharides,C12H22O11,342.116215,GUBGYTABKSRVRQ-QKKXKWKRSA-N,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,440995.0
L-alanine 1,Alanine,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-alanine 2,Alanine,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-Alanine_ 2TMS derivative,Alanine,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-Alanine_ TMS derivative,Alanine,Alanine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO2,89.047679,QNAYBMKLOCPYGJ-REOHCLBHSA-N,C[C@H](N)C(=O)O,5950.0
L-asparagine 2,Asparagine,Asparagine,Organic acids,Amino acids and peptides,Amino acids,C4H8N2O3,132.053493,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H](N)C(=O)O,6267.0
L-Asparagine_ 2TMS derivative,Asparagine,Asparagine,Organic acids,Amino acids and peptides,Amino acids,C4H8N2O3,132.053493,DCXYFEDJOCDNAF-REOHCLBHSA-N,NC(=O)C[C@H](N)C(=O)O,6267.0
lauric acid,Lauric acid,Lauric acid,Fatty Acyls,Fatty acids,Saturated FA,C12H24O2,200.17763,POULHZVOKOAJMA-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)O,3893.0
L-cystine 1,Cystine,Cystine,Organic acids,Amino acids and peptides,Amino acids,C6H12N2O4S2,240.023852,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,67678.0
L-cystine 2,Cystine,Cystine,Organic acids,Amino acids and peptides,Amino acids,C6H12N2O4S2,240.023852,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,67678.0
L-cystine 3,Cystine,Cystine,Organic acids,Amino acids and peptides,Amino acids,C6H12N2O4S2,240.023852,LEVWYRKDKASIDU-IMJSIDKUSA-N,N[C@@H](CSSC[C@H](N)C(=O)O)C(=O)O,67678.0
Leu-Trp_ N-trimethylsilyl-_ trimethylsilyl ester,Leu-Trp,Leu-Trp,Organic acids,Amino acids and peptides,Dipeptides,C17H23N3O3,317.173942,BQVUABVGYYSDCJ-ZFWWWQNUSA-N,CC(C)C[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,6992319.0
L-glutamic acid 1,Glutamic acid,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H9NO4,147.053159,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,33032.0
L-glutamic acid 2,Glutamic acid,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H9NO4,147.053159,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,33032.0
L-glutamic acid 3 (dehydrated),Glutamic acid,Glutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H9NO4,147.053159,WHUUTDBJXJRKMK-VKHMYHEASA-N,N[C@@H](CCC(=O)O)C(=O)O,33032.0
L-glutamine 1,Glutamine,Glutamine,Organic acids,Amino acids and peptides,Amino acids,C5H10N2O3,146.069143,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H](N)C(=O)O,5961.0
L-glutamine 2,Glutamine,Glutamine,Organic acids,Amino acids and peptides,Amino acids,C5H10N2O3,146.069143,ZDXPYRJPNDTMRX-VKHMYHEASA-N,NC(=O)CC[C@H](N)C(=O)O,5961.0
linoleic acid,Linoleic acid,Linoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C18H32O2,280.24023,OYHQOLUKZRVURQ-HZJYTTRNSA-N,CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,5280450.0
L-(+) lactic acid,Lactic acid,Lactic acid,Organic acids,Short-chain acids,Short-chain acids,C3H6O3,90.031695,JVTAAEKCZFNVCJ-REOHCLBHSA-N,C[C@H](O)C(=O)O,107689.0
L-leucine 2,Leucine,Leucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,ROHFNLRQFUQHCH-YFKPBYRVSA-N,CC(C)C[C@H](N)C(=O)O,6106.0
L-lysine 1,Lysine,Lysine,Organic acids,Amino acids and peptides,Amino acids,C6H14N2O2,146.105528,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(=O)O,5962.0
L-lysine 2,Lysine,Lysine,Organic acids,Amino acids and peptides,Amino acids,C6H14N2O2,146.105528,KDXKERNSBIXSRK-YFKPBYRVSA-N,NCCCC[C@H](N)C(=O)O,5962.0
L-methionine 1,Methionine,Methionine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2S,149.051051,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(=O)O,6137.0
L-methionine 2,Methionine,Methionine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2S,149.051051,FFEARJCKVFRZRR-BYPYZUCNSA-N,CSCC[C@H](N)C(=O)O,6137.0
L-norleucine 1,Norleucine,Norleucine,Organic acids,Amino acids and peptides,Amino acids,C6H13NO2,131.094629,LRQKBLKVPFOOQJ-YFKPBYRVSA-N,CCCC[C@H](N)C(=O)O,21236.0
L-Phenylalanine_ 2TMS derivative,Phenylalanine,Phenylalanine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO2,165.078979,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](Cc1ccccc1)C(=O)O,6140.0
L-proline 2,Proline,Proline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO2,115.063329,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,145742.0
L-Proline_ 2TMS derivative,Proline,Proline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO2,115.063329,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,145742.0
L-Proline_ TMS derivative,Proline,Proline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO2,115.063329,ONIBWKKTOPOVIA-BYPYZUCNSA-N,O=C(O)[C@@H]1CCCN1,145742.0
L-serine 1,Serine,Serine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO3,105.042594,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O,5951.0
L-serine 2,Serine,Serine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO3,105.042594,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O,5951.0
L-Serine_ 2TMS derivative,Serine,Serine,Organic acids,Amino acids and peptides,Amino acids,C3H7NO3,105.042594,MTCFGRXMJLQNBG-REOHCLBHSA-N,N[C@@H](CO)C(=O)O,5951.0
L-threonine 1,Threonine,Threonine,Organic acids,Amino acids and peptides,Amino acids,C4H9NO3,119.058244,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(=O)O,6288.0
L-threonine 2,Threonine,Threonine,Organic acids,Amino acids and peptides,Amino acids,C4H9NO3,119.058244,AYFVYJQAPQTCCC-GBXIJSLDSA-N,C[C@@H](O)[C@H](N)C(=O)O,6288.0
L-tryptophan 2,Tryptophan,Tryptophan,Organic acids,Amino acids and peptides,Amino acids,C11H12N2O2,204.089878,QIVBCDIJIAJPQS-VIFPVBQESA-N,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,6305.0
L-tyrosine 2,Tyrosine,Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,6057.0
L-valine 2,Valine,Valine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2,117.078979,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(=O)O,6287.0
L-Valine_ TMS derivative,Valine,Valine,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2,117.078979,KZSNJWFQEVHDMF-BYPYZUCNSA-N,CC(C)[C@H](N)C(=O)O,6287.0
m-Cresol_ TMS derivative,m-Cresol,m-Cresol,Benzenoids,Phenols,Other phenols,C7H8O,108.057515,RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,342.0
Methoxyamine_ TMS derivative,Methoxamine,Methoxamine,Benzenoids,Benzenes,Other benzenes,C11H17NO3,211.120844,WJAJPNHVVFWKKL-UHFFFAOYSA-N,COc1ccc(OC)c(C(O)C(C)N)c1,6082.0
Methyl 2-[2-(4-chlorophenyl)-5-methyl-1H-imidazol-1-yl]dithiobenzoate,,,,,,,,,,
Methyl Caprate,Methyl decanoate,Methyl decanoate,Fatty Acyls,Fatty esters,Wax monoesters,C11H22O2,186.16198,YRHYCMZPEVDGFQ-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC,8050.0
Methyl Docosanoate,,,,,,,,,,
Methyl Eicosanoate,,,,,,,,,,
Methyl galactoside_ 4TMS derivative,Methyl beta-D-galactoside,Methyl beta-D-galactoside,Carbohydrates,Monosaccharides,Hexoses,C7H14O6,194.07904,HOVAGTYPODGVJG-VOQCIKJUSA-N,CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,94214.0
Methyl Laurate,Methyl dodecanoate,Methyl dodecanoate,Fatty Acyls,Fatty esters,Wax monoesters,C13H26O2,214.19328,UQDUPQYQJKYHQI-UHFFFAOYSA-N,CCCCCCCCCCCC(=O)OC,8139.0
Methyl Linocerate,,,,,,,,,,
methyl linolenate,,,,,,,,,,
Methyl Myristate,Methyl tetradecanoate,Methyl tetradecanoate,Fatty Acyls,Fatty esters,Wax monoesters,C15H30O2,242.22458,ZAZKJZBWRNNLDS-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC,31284.0
methyl oleate,Methyl oleate,Methyl oleate,Fatty Acyls,Fatty esters,Wax diesters,C19H36O2,296.27153,QYDYPVFESGNLHU-KHPPLWFESA-N,CCCCCCCC/C=C\CCCCCCCC(=O)OC,5364509.0
Methyl Palmitate,Formyl hexadecanoate,Formyl hexadecanoate,Fatty Acyls,Fatty esters,Wax monoesters,C17H34O2,270.25588,FLIACVVOZYBSBS-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)OC,8181.0
methyl palmitoleate,,,,,,,,,,
Methyl Stearate,Methyl stearate,Methyl stearate,Fatty Acyls,Fatty esters,Wax monoesters,C19H38O2,298.28718,HPEUJPJOZXNMSJ-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)OC,8201.0
Monolaurin_ 2TMS derivative,MG 12:0,MG 12:0,Glycerolipids,Monoradylglycerols,MG,C15H30O4,274.21441,,,
myo-inositol,Myo-inositol,Myo-inositol,Organic oxygen compounds,Alcohols and polyols,Inositols,C6H12O6,180.06339,CDAISMWEOUEBRE-GPIVLXJGSA-N,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,892.0
Myristic Acid d27,Myristic acid,Myristic acid,Fatty Acyls,Fatty acids,Saturated FA,C14H28O2,228.20893,TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)O,11005.0
N-(6-Quinolinyl)phthalimide,,,,,,,,,,
N-acetyl-D-glucosamine 2,N-Acetyl-D-glucosamine,N-Acetyl-D-glucosamine,Carbohydrates,Monosaccharides,Amino sugars,C8H15NO6,221.089939,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,439174.0
N-Acetyl glucosamine methoxime_ tetrakis(trimethylsilyl),N-Acetyl-D-glucosamine,N-Acetyl-D-glucosamine,Carbohydrates,Monosaccharides,Amino sugars,C8H15NO6,221.089939,OVRNDRQMDRJTHS-RTRLPJTCSA-N,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,439174.0
N-(Hydroxymethyl)trifluoroacetamide_ TMS derivative,,,,,,,,,,
Nonanoic acid_ TMS derivative,Pelargonic acid,Pelargonic acid,Fatty Acyls,Fatty acids,Saturated FA,C9H18O2,158.13068,FBUKVWPVBMHYJY-UHFFFAOYSA-N,CCCCCCCCC(=O)O,8158.0
norvaline 2,Norvaline,Norvaline,Organic acids,Amino acids and peptides,Amino acids,C5H11NO2,117.078979,SNDPXSYFESPGGJ-SCSAIBSYSA-N,CCC[C@@H](N)C(=O)O,439575.0
Octadecane,Octadecane,Octadecane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C18H38,254.297351,RZJRJXONCZWCBN-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC,11635.0
O-phosphocolamine,Phosphoethanolamine,Phosphoethanolamine,Organic acids,Phosphate esters,Phosphoethanolamines,C2H8NO4P,141.019097,SUHOOTKUPISOBE-UHFFFAOYSA-N,NCCOP(=O)(O)O,1015.0
oxalic acid,Oxalic acid,Oxalic acid,Fatty Acyls,Fatty acids,Dicarboxylic acids,C2H2O4,89.99531,MUBZPKHOEPUJKR-UHFFFAOYSA-N,O=C(O)C(=O)O,971.0
Oxalic acid_ 2TMS derivative,Oxalic acid,Oxalic acid,Fatty Acyls,Fatty acids,Dicarboxylic acids,C2H2O4,89.99531,MUBZPKHOEPUJKR-UHFFFAOYSA-N,O=C(O)C(=O)O,971.0
palmitic acid,Palmitic acid,Palmitic acid,Fatty Acyls,Fatty acids,Saturated FA,C16H32O2,256.24023,IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O,985.0
palmitoleic acid,Palmitoleic acid,Palmitoleic acid,Fatty Acyls,Fatty acids,Unsaturated FA,C16H30O2,254.22458,SECPZKHBENQXJG-FPLPWBNLSA-N,CCCCCC/C=C\CCCCCCCC(=O)O,445638.0
p-cresol,P-Cresol,P-Cresol,Benzenoids,Phenols,Other phenols,C7H8O,108.057515,IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,2879.0
Pentadecanoic acid_ glycerine-(1)-monoester_ bis-O-trimethylsilyl-,,,,,,,,,,
Pentadecanoic acid_ TMS derivative,Pentadecylic acid,Pentadecylic acid,Fatty Acyls,Fatty acids,Saturated FA,C15H30O2,242.22458,WQEPLUUGTLDZJY-UHFFFAOYSA-N,CCCCCCCCCCCCCCC(=O)O,13849.0
Pentasiloxane_ dodecamethyl-,,,,,,,,,,
Phenol_ 2_4-bis(1_1-dimethylethyl)-_ phosphite (3:1),,,,,,,,,,
Phenol_ TMS derivative,Phenol,Phenol,Polyketides,Phenolic acids,Phenolic acids,C6H6O,94.041865,ISWSIDIOOBJBQZ-UHFFFAOYSA-N,Oc1ccccc1,996.0
Phenylalanine 1,Phenylalanine,Phenylalanine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO2,165.078979,COLNVLDHVKWLRT-QMMMGPOBSA-N,N[C@@H](Cc1ccccc1)C(=O)O,6140.0
phosphoric acid,Phosphoric acid,Phosphoric acid,Unclassified,Unclassified,Unclassified,PH3O4,97.976898,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,1004.0
Phosphoric acid_ 2-(trimethylsiloxy)-1-[(trimethylsiloxy)methyl]ethyl bis(trimethylsilyl) ester,Phosphoric acid,Phosphoric acid,Unclassified,Unclassified,Unclassified,PH3O4,97.976898,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,1004.0
Phosphoric acid_ 2-[(trimethylsilyl)oxy]-1_3-propanediyl tetrakis(trimethylsilyl) ester,Phosphoric acid,Phosphoric acid,Unclassified,Unclassified,Unclassified,PH3O4,97.976898,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,1004.0
Phosphoric acid_ bis(trimethylsilyl)monomethyl ester,Phosphoric acid,Phosphoric acid,Unclassified,Unclassified,Unclassified,PH3O4,97.976898,NBIIXXVUZAFLBC-UHFFFAOYSA-N,O=P(O)(O)O,1004.0
propanedinitrile_ 2-(1-methyl-2_6-diphenyl-4(1H)-pyridinylidene)-,,,,,,,,,,
Propanoic acid_ 2_2-dimethyl-_ sodium salt,,,,,,,,,,
Propylene glycol_ 2TMS derivative,Propylene glycol,Propylene glycol,Organic oxygen compounds,Alcohols and polyols,"1,2-diols",C3H8O2,76.05243,DNIAPMSPPWPWGF-VKHMYHEASA-N,C[C@H](O)CO,439846.0
Propylparaben_ TMS derivative,Propylparaben,Propylparaben,Polyketides,Phenolic acids,Phenolic acids,C10H12O3,180.078645,QELSKZZBTMNZEB-UHFFFAOYSA-N,CCCOC(=O)c1ccc(O)cc1,7175.0
Pseudo uridine penta-tms,Pseudouridine,Pseudouridine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,C9H12N2O6,244.069538,PTJWIQPHWPFNBW-GBNDHIKLSA-N,O=c1[nH]cc([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,15047.0
psicose 1,Psicose,Psicose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,BJHIKXHVCXFQLS-PUFIMZNGSA-N,O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO,90008.0
p-Tolyl-.beta.-D-glucuronide_ tris(trimethylsilyl) ether_ trimethylsilyl ester,,,,,,,,,,
Pyroglutamic acid_ TMS derivative,Pyroglutamic acid,Pyroglutamic acid,Organic acids,Amino acids and peptides,Amino acids,C5H7NO3,129.042594,ODHCTXKNWHHXJC-VKHMYHEASA-N,O=C1CC[C@@H](C(=O)O)N1,7405.0
pyrophosphate,Pyrophosphate,Pyrophosphate,Unclassified,Unclassified,Unclassified,P2H2Na2O7,221.907121,GYQBBRRVRKFJRG-UHFFFAOYSA-L,O=P([O-])(O)OP(=O)([O-])O.[Na+].[Na+],24451.0
quinic acid,Quinic acid,Quinic acid,Polyketides,Phenolic acids,Phenolic acids,C7H12O6,192.06339,AAWZDTNXLSGCEK-LNVDRNJUSA-N,O=C(O)C1(O)C[C@@H](O)C(O)[C@H](O)C1,6508.0
ribitol,Ribitol,Ribitol,Carbohydrates,Monosaccharides,Sugar alcohols,C5H12O5,152.068475,HEBKCHPVOIAQTA-ZXFHETKHSA-N,OC[C@@H](O)[C@@H](O)[C@@H](O)CO,6912.0
Ribonic acid_ 2_3_4_5-tetrakis-O-(trimethylsilyl)-_ trimethylsilyl ester,Ribonic acid,Ribonic acid,Carbohydrates,Monosaccharides,Sugar acids,C5H10O6,166.04774,QXKAIJAYHKCRRA-BXXZVTAOSA-N,O=C(O)[C@H](O)[C@H](O)[C@H](O)CO,5460677.0
ribose,Ribose,Ribose,Carbohydrates,Monosaccharides,Pentoses,C5H10O5,150.052825,HMFHBZSHGGEWLO-SOOFDHNKSA-N,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,5779.0
(R_R)-2_3-Dihydroxybutanoic acid_ tris(trimethylsilyl)-,4-Deoxy-erythronic acid,4-Deoxy-erythronic acid,Carbohydrates,Monosaccharides,Sugar acids,C4H8O4,120.04226,LOUGYXZSURQALL-PWNYCUMCSA-N,C[C@@H](O)[C@@H](O)C(=O)O,13120901.0
(R_S)-2_3-Dihydroxybutanoic acid_ tris(trimethylsilyl) deriv.,4-Deoxythreonic acid,4-Deoxythreonic acid,Carbohydrates,Monosaccharides,Sugar acids,C4H8O4,120.04226,LOUGYXZSURQALL-GBXIJSLDSA-N,C[C@@H](O)[C@H](O)C(=O)O,10964471.0
(R_S)-3_4-DIHYDROXYBUTANOIC ACID TRITMS,,,,,,,,,,
Sedoheptulose_ o-methyloxime_ hexakis-O-(trimethylsilyl)-,,,,,,,,,,
serotonin 1,Serotonin,Serotonin,Alkaloids,Tryptophan alkaloids,Tryptamines,C10H12N2O,176.094963,QZAYGJVTTNCVMB-UHFFFAOYSA-N,NCCc1c[nH]c2ccc(O)cc12,5202.0
Silane_ diethyldecyloxyhexadecyloxy-,,,,,,,,,,
Silane_ dimethyl-2-propenyl(tetradecyloxy)-,,,,,,,,,,
Silane_ dimethyl(octadecyloxy)propyl-,,,,,,,,,,
stearic acid,Stearic acid,Stearic acid,Fatty Acyls,Fatty acids,Saturated FA,C18H36O2,284.27153,QIQXTHQIDYTFRH-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCC(=O)O,5281.0
succinic acid,Succinic acid,Succinic acid,Organic acids,TCA acids,TCA acids,C4H6O4,118.02661,KDYFGRWQOYBRFD-UHFFFAOYSA-N,O=C(O)CCC(=O)O,1110.0
tagatose 1,Fructose,Fructose,Carbohydrates,Monosaccharides,Hexoses,C6H12O6,180.06339,BJHIKXHVCXFQLS-UYFOZJQFSA-N,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,5984.0
(t-Butyldimethylsilyl)[3-methyl-3-(4-methyl-pent-3-enyl)-oxiran-2-yl]-methanone,,,,,,,,,,
tert-Butyl(2-(tert-butyl)-4-methoxyphenoxy)dimethylsilane,,,,,,,,,,
tetracosane,Lignocerane,Lignocerane,Fatty Acyls,Hydrocarbons,Hydrocarbons,C24H50,338.391251,POOSGDOYLQNASK-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCC,12592.0
Tetradecane_ 1-iodo-,,,,,,,,,,
Tetradecanoic acid_ triethylsilyl ester,Myristic acid,Myristic acid,Fatty Acyls,Fatty acids,Saturated FA,C14H28O2,228.20893,TUNFSRHWOTWDNC-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)O,11005.0
Tetrasiloxane_ decamethyl-,,,,,,,,,,
Thiazolidine-2_5-dione,"1,3-Thiazolidine-2,5-dione","1,3-Thiazolidine-2,5-dione",Organic acids,Amino acids and peptides,Amino acids,C3H3NO2S,116.988449,STHGEDCARBQXMJ-UHFFFAOYSA-N,O=C1CNC(=O)S1,542718.0
threonic acid,Threonic acid,Threonic acid,Carbohydrates,Monosaccharides,Sugar acids,C4H8O5,136.037175,JPIJQSOTBSSVTP-STHAYSLISA-N,O=C(O)[C@H](O)[C@@H](O)CO,5460407.0
trans-4-hydroxy-L-proline 1,trans-4-Hydroxyproline,trans-4-Hydroxyproline,Organic acids,Amino acids and peptides,Amino acids,C5H9NO3,131.058244,PMMYEEVYMWASQN-DMTCNVIQSA-N,O=C(O)[C@@H]1C[C@@H](O)CN1,5810.0
trans-aconitic acid,trans-Aconitic acid,trans-Aconitic acid,Organic acids,Carboxylic acids,Tricarboxylic acids,C6H6O6,174.01644,GTZCVFVGUGFEME-HNQUOIGGSA-N,O=C(O)/C=C(\CC(=O)O)C(=O)O,444212.0
Tricosanoic acid_ 2-methoxy-_ methyl ester,,,,,,,,,,
Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,,,,,,,,,,
tyrosine 1,Tyrosine,Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,6057.0
tyrosine 2,Tyrosine,Tyrosine,Organic acids,Amino acids and peptides,Amino acids,C9H11NO3,181.073894,OUYCCCASQSFEME-QMMMGPOBSA-N,N[C@@H](Cc1ccc(O)cc1)C(=O)O,6057.0
Undecane_ 2_10-dimethyl-,,,,,,,,,,
Undecane_ 3_8-dimethyl-,,,,,,,,,,
Undecane_ 4_7-dimethyl-,,,,,,,,,,
Urea_ 2TMS derivative,Urea,Urea,Organic acids,Carboximidic acids,Ureas,CH4N2O,60.032363,XSQUKJJJFZCRTK-UHFFFAOYSA-N,NC(N)=O,1176.0
uric acid 1,Uric acid,Uric acid,Nucleic acids,Purines,Xanthines,C5H4N4O3,168.028341,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1175.0
uric acid 2,Uric acid,Uric acid,Nucleic acids,Purines,Xanthines,C5H4N4O3,168.028341,LEHOTFFKMJEONL-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1,1175.0
uridine,Uridine,Uridine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,C9H12N2O6,244.069538,DRTQHJPVMGBUCF-XVFCMESISA-N,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,6029.0
Uridine_ 3TMS derivative,Uridine,Uridine,Nucleic acids,Pyrimidines,Pyrimidine ribonucleosides,C9H12N2O6,244.069538,DRTQHJPVMGBUCF-XVFCMESISA-N,O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1,6029.0
xanthine,Xanthine,Xanthine,Nucleic acids,Purines,Xanthines,C5H4N4O2,152.033426,LRFVTYWOQMYALW-UHFFFAOYSA-N,O=c1[nH]c(=O)c2nc[nH]c2[nH]1,1188.0
xylitol,Xylitol,Xylitol,Carbohydrates,Monosaccharides,Sugar alcohols,C5H12O5,152.068475,HEBKCHPVOIAQTA-SCDXWVJYSA-N,OC[C@@H](O)[C@H](O)[C@@H](O)CO,6912.0
xylose 1,Xylose,Xylose,Carbohydrates,Monosaccharides,Pentoses,C5H10O5,150.052825,SRBFZHDQGSBBOR-IOVATXLUSA-N,OC1OC[C@@H](O)[C@H](O)[C@H]1O,135191.0
,,,,,,,,,,
</pre></body></html>,,,,,,,,,,
